|Rank|Team|GP|W|L|OT|P|ROW|P%|G/G|GA/G|PP%|PK%|S/G|SA/G|FO%|
|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|
|1|[Nashville](/r/predators)|82|53|18|11|117|47|0.7134|3.1829|2.4878|0.2124|0.8193|32.2073|32.4268|0.533|
|2|[Winnipeg](/r/winnipegjets)|82|52|20|10|114|48|0.6951|3.3292|2.6341|0.2335|0.8175|32.2317|31.8658|0.524|
|3|[Tampa Bay](/r/tampabaylightning)|82|54|23|5|113|48|0.689|3.5365|2.8536|0.2391|0.7611|32.6829|32.7195|0.4822|
|4|[Boston](/r/bostonbruins)|82|50|20|12|112|47|0.6829|3.256|2.5731|0.2355|0.8367|32.9634|29.256|0.5074|
|5|[Vegas](/r/goldenknights)|82|51|24|7|109|47|0.6646|3.2682|2.7439|0.2137|0.8143|32.756|30.7439|0.489|
|6|[Toronto](/r/leafs)|82|49|26|7|105|42|0.6402|3.2926|2.8048|0.25|0.8138|32.1951|33.8536|0.5182|
|7|[Washington](/r/caps)|82|49|26|7|105|46|0.6402|3.1219|2.9024|0.2254|0.8029|29.0121|31.8658|0.504|
|8|[Anaheim](/r/anaheimducks)|82|44|25|13|101|40|0.6158|2.817|2.5487|0.1775|0.8321|30.1829|33.1219|0.5126|
|9|[Minnesota](/r/wildhockey)|82|45|26|11|101|42|0.6158|3.0487|2.7926|0.2041|0.8125|30.1951|31.3292|0.498|
|10|[Pittsburgh](/r/penguins)|82|47|29|6|100|45|0.6097|3.2926|3.0243|0.2615|0.8|34.4268|31.1341|0.5025|
|11|[San Jose](/r/sanjosesharks)|82|45|27|10|100|40|0.6097|3.0121|2.756|0.2062|0.8482|32.9512|30.3414|0.5125|
|12|[Los Angeles](/r/losangeleskings)|82|45|29|8|98|43|0.5975|2.8902|2.4634|0.2041|0.85|31.0243|30.939|0.4973|
|13|[Philadelphia](/r/flyers)|82|42|26|14|98|40|0.5975|3.0365|2.878|0.2068|0.7578|32.0853|29.8536|0.5326|
|14|[New Jersey](/r/devils)|82|44|29|9|97|39|0.5914|2.9634|2.9268|0.2142|0.8178|31.6951|31.9024|0.4698|
|15|[Columbus](/r/bluejackets)|82|45|30|7|97|39|0.5914|2.878|2.756|0.1718|0.7616|33.6707|31.3048|0.484|
|16|[Florida](/r/floridapanthers)|82|44|30|8|96|41|0.5853|2.9878|2.9634|0.1887|0.8017|34.4146|34.6097|0.5074|
|17|[Colorado](/r/coloradoavalanche)|82|43|30|9|95|41|0.5792|3.1097|2.878|0.2195|0.8327|29.6585|33.3048|0.4422|
|18|[St. Louis](/r/stlouisblues)|82|44|32|6|94|41|0.5731|2.7195|2.7073|0.1544|0.7965|32.6463|29.7317|0.506|
|19|[Dallas](/r/dallasstars)|82|42|32|8|92|38|0.5609|2.817|2.7073|0.1926|0.8078|31.2195|29.8414|0.525|
|20|[Calgary](/r/calgaryflames)|82|37|35|10|84|35|0.5121|2.6341|2.9634|0.1598|0.8178|33.6463|31.1463|0.4936|
|21|[Carolina](/r/canes)|82|36|35|11|83|33|0.506|2.7439|3.0853|0.1841|0.7748|33.9024|28.8658|0.5406|
|22|[NY Islanders](/r/newyorkislanders)|82|35|37|10|80|32|0.4878|3.1829|3.5731|0.232|0.7319|31.3658|35.5853|0.4887|
|23|[Edmonton](/r/edmontonoilers)|82|36|40|6|78|31|0.4756|2.7926|3.1951|0.1476|0.7673|33.4146|32.1219|0.4868|
|24|[NY Rangers](/r/rangers)|82|34|39|9|77|31|0.4695|2.7804|3.2073|0.2116|0.8137|30.9512|35.3414|0.4927|
|25|[Chicago](/r/hawks)|82|33|39|10|76|32|0.4634|2.7804|3.0975|0.1598|0.7914|34.0609|32.8902|0.4925|
|26|[Vancouver](/r/canucks)|82|31|40|11|73|31|0.4451|2.6585|3.1585|0.2145|0.7826|30.0487|32.2073|0.4952|
|27|[Detroit](/r/detroitredwings)|82|30|39|13|73|25|0.4451|2.5853|3.0975|0.1752|0.7751|30.3658|31.8658|0.4885|
|28|[Montréal](/r/habs)|82|29|40|13|71|27|0.4329|2.5243|3.1463|0.2122|0.7414|32.7682|32.317|0.4754|
|29|[Arizona](/r/coyotes)|82|29|41|12|70|27|0.4268|2.5121|3.0609|0.1687|0.7955|29.878|32.2195|0.4773|
|30|[Ottawa](/r/ottawasenators)|82|28|43|11|67|26|0.4085|2.6707|3.4634|0.1659|0.7617|30.6707|33.0731|0.5029|
|31|[Buffalo](/r/sabres)|82|25|45|12|62|24|0.378|2.4146|3.3902|0.1906|0.7787|31.1829|32.6951|0.5153|
