Team|Num|Pos|Name|GP|G|A|P|+/-|PIM|PP|SH|GW|S|S%
:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:
Anaheim|10|R|Corey Perry|13|11|4|15|11|25|4|0|1|42|26.20
Anaheim|15|C|Ryan Getzlaf|13|3|11|14|4|17|0|0|1|33|9.10
Anaheim|17|C|Ryan Kesler|14|3|6|9|-3|21|1|0|1|38|7.90
Anaheim|4|D|Cam Fowler|14|1|8|9|5|0|0|0|1|13|7.70
Anaheim|45|D|Sami Vatanen|14|3|5|8|-1|16|3|0|1|20|15.00
Anaheim|39|L|Matt Beleskey|14|6|0|6|2|12|2|0|1|41|14.60
Anaheim|33|R|Jakob Silfverberg|14|0|5|5|0|4|0|0|0|28|0.00
Anaheim|12|R|Devante Smith-Pelly|14|3|2|5|3|0|0|1|1|23|13.00
Anaheim|23|D|Francois Beauchemin|14|0|4|4|3|4|0|0|0|19|0.00
Anaheim|44|C|Nate Thompson|14|1|3|4|0|20|0|0|1|14|7.10
Anaheim|7|C|Andrew Cogliano|14|1|3|4|1|4|0|1|0|25|4.00
Anaheim|19|L|Patrick Maroon|6|0|4|4|-1|2|0|0|0|11|0.00
Anaheim|38|C|William Karlsson|11|2|1|3|4|2|0|0|1|15|13.30
Anaheim|47|D|Hampus Lindholm|14|1|2|3|8|8|0|0|0|21|4.80
Anaheim|67|C|Rickard Rakell|9|0|2|2|1|4|0|0|0|12|0.00
Anaheim|18|R|Tim Jackman|14|1|0|1|-1|37|0|0|0|13|7.70
Anaheim|6|D|Ben Lovejoy|9|0|1|1|2|7|0|0|0|9|0.00
Anaheim|16|L|Emerson Etem|14|1|0|1|-1|2|0|0|0|22|4.50
Anaheim|51|L|Dany Heatley|3|0|0|0|-2|0|0|0|0|6|0.00
Anaheim|3|D|Clayton Stoner|13|0|0|0|0|16|0|0|0|13|0.00
Anaheim|28|D|Mark Fistric|3|0|0|0|-1|0|0|0|0|0|0.00
Anaheim|62|R|Chris Wagner|1|0|0|0|0|2|0|0|0|0|0.00
Anaheim|42|D|Josh Manson|3|0|0|0|-1|2|0|0|0|2|0.00
Vancouver|33|C|Henrik Sedin|14|5|10|15|4|2|1|0|0|18|27.80
Vancouver|22|L|Daniel Sedin|14|3|11|14|3|4|1|0|1|40|7.50
Vancouver|17|R|Radim Vrbata|14|6|7|13|1|2|2|0|2|49|12.20
Vancouver|13|C|Nick Bonino|14|7|5|12|7|6|0|0|3|33|21.20
Vancouver|20|L|Chris Higgins|14|2|7|9|7|4|0|0|0|28|7.10
Vancouver|7|R|Linden Vey|14|4|3|7|-1|2|3|0|1|11|36.40
Vancouver|23|D|Alexander Edler|14|3|4|7|5|4|3|0|0|46|6.50
Vancouver|14|R|Alexandre Burrows|11|2|5|7|5|8|1|0|0|18|11.10
Vancouver|15|R|Brad Richardson|14|3|3|6|-4|11|0|0|0|25|12.00
Vancouver|51|R|Derek Dorsett|14|2|3|5|0|26|0|1|1|19|10.50
Vancouver|36|R|Jannik Hansen|14|3|1|4|-3|4|0|0|0|21|14.30
Vancouver|9|R|Zack Kassian|13|2|2|4|-4|24|0|0|0|20|10.00
Vancouver|8|D|Christopher Tanev|14|0|4|4|5|4|0|0|0|8|0.00
Vancouver|2|D|Dan Hamhuis|14|0|4|4|-6|11|0|0|0|17|0.00
Vancouver|5|D|Luca Sbisa|13|2|1|3|-2|8|0|0|1|9|22.20
Vancouver|27|C|Shawn Matthias|14|1|2|3|-8|6|0|0|0|20|5.00
Vancouver|6|D|Yannick Weber|10|0|2|2|5|4|0|0|0|15|0.00
Vancouver|29|L|Tom Sestito|2|0|1|1|1|0|0|0|0|0|0.00
Vancouver|3|D|Kevin Bieksa|14|0|1|1|-4|18|0|0|0|32|0.00
Vancouver|18|D|Ryan Stanton|5|0|0|0|2|0|0|0|0|7|0.00
Vancouver|53|C|Bo Horvat|2|0|0|0|1|0|0|0|0|2|0.00
Montréal|14|C|Tomas Plekanec|14|5|4|9|-1|0|0|1|1|40|12.50
Montréal|76|D|P.K. Subban|14|3|6|9|-2|22|1|0|1|27|11.10
Montréal|67|L|Max Pacioretty|14|5|4|9|7|12|1|0|0|49|10.20
Montréal|27|C|Alex Galchenyuk|14|4|4|8|-2|6|0|0|0|31|12.90
Montréal|79|D|Andrei Markov|14|1|5|6|1|2|0|0|0|27|3.70
Montréal|15|R|Pierre-Alexandre Parenteau|14|3|3|6|-2|6|1|0|0|29|10.30
Montréal|74|D|Alexei Emelin|12|0|6|6|2|14|0|0|0|6|0.00
Montréal|51|C|David Desharnais|14|1|5|6|7|12|0|0|1|16|6.30
Montréal|11|R|Brendan Gallagher|14|3|2|5|1|4|0|0|1|43|7.00
Montréal|22|R|Dale Weise|11|0|4|4|0|2|0|0|0|14|0.00
Montréal|81|C|Lars Eller|14|2|1|3|-9|12|0|0|1|25|8.00
Montréal|77|D|Tom Gilbert|14|1|1|2|4|14|0|0|0|12|8.30
Montréal|17|R|Rene Bourque|13|0|2|2|-9|6|0|0|0|18|0.00
Montréal|24|D|Jarred Tinordi|9|0|2|2|-5|7|0|0|0|4|0.00
Montréal|43|D|Mike Weaver|13|0|1|1|-6|4|0|0|0|3|0.00
Montréal|8|L|Brandon Prust|14|0|1|1|-6|23|0|0|0|7|0.00
Montréal|26|L|Jiri Sekac|7|1|0|1|-4|2|0|0|0|5|20.00
Montréal|20|C|Manny Malhotra|14|0|0|0|-3|2|0|0|0|12|0.00
Montréal|32|L|Travis Moen|9|0|0|0|0|4|0|0|0|9|0.00
Montréal|49|L|Michael Bournival|2|0|0|0|0|0|0|0|0|2|0.00
Montréal|28|D|Nathan Beaulieu|8|0|0|0|-5|4|0|0|0|13|0.00
Tampa Bay|9|C|Tyler Johnson|13|2|13|15|9|2|1|0|0|38|5.30
