|Rank|Team|GP|W|L|OT|P|ROW|HROW|RROW|P%|G/G|GA/G|5-5 F/A|PP%|PK%|S/G|SA/G|Sc 1%|Tr 1st%|Ld 1%|Ld 2%|OS%|OSB%|FO%|
|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|
|1|[Anaheim](/r/anaheimducks)|14|10|3|1|21|9|4|5|.750|2.64|1.93|1.18|18.9|83.0|30.0|28.4|1.000|.333|1.000|1.000|1.000|.556|53.3|
|2|[Vancouver](/r/canucks)|14|10|4|0|20|9|3|6|.714|3.21|2.71|0.97|22.4|87.3|31.3|29.2|.714|.714|.600|1.000|.778|.600|47.1|
|3|[Montréal](/r/habs)|14|9|4|1|19|5|4|1|.679|2.07|2.93|0.82|7.9|84.8|28.0|31.6|1.000|.545|.000|1.000|.800|.500|54.6|
|4|[Tampa Bay](/r/tampabaylightning)|13|9|3|1|19|9|6|3|.731|3.62|2.54|1.28|24.4|83.8|29.5|27.6|.778|.500|.800|.857|.625|.750|51.9|
|5|[St. Louis](/r/stlouisblues)|13|9|3|1|19|7|4|3|.731|2.46|1.92|1.43|25.0|78.7|31.2|25.9|1.000|.429|1.000|1.000|.625|1.000|52.2|
|6|[Pittsburgh](/r/penguins)|12|9|2|1|19|8|5|3|.792|4.00|2.17|1.73|37.2|87.8|30.9|29.2|.667|1.000|.750|.818|.857|.600|51.7|
|7|[Boston](/r/bostonbruins)|15|9|6|0|18|8|5|3|.600|2.80|2.33|1.08|22.0|80.8|30.7|27.3|.750|.429|.750|.833|.778|.200|54.2|
|8|[Calgary](/r/calgaryflames)|15|8|5|2|18|7|2|5|.600|2.80|2.40|1.27|20.0|75.6|27.1|29.9|.750|.286|1.000|1.000|.600|.556|46.4|
|9|[Nashville](/r/predators)|13|8|3|2|18|7|3|4|.692|2.46|2.00|1.85|15.4|71.0|28.6|28.7|.750|.556|1.000|.800|.800|.500|47.2|
|10|[Los Angeles](/r/losangeleskings)|14|7|4|3|17|6|5|1|.607|2.21|2.00|1.31|12.8|81.5|29.6|33.0|.714|.286|.800|1.000|.500|.571|52.6|
|11|[San Jose](/r/sanjosesharks)|14|7|5|2|16|5|2|3|.571|2.93|2.57|1.08|25.0|80.5|32.2|31.2|.600|.250|.750|.625|.375|.667|50.3|
|12|[Winnipeg](/r/winnipegjets)|14|7|5|2|16|6|3|3|.571|1.93|2.07|0.74|10.6|89.3|29.9|28.0|.625|.333|.667|.800|.444|.600|48.9|
|13|[NY Islanders](/r/newyorkislanders)|13|8|5|0|16|6|2|4|.615|3.00|3.23|0.96|23.1|67.5|31.5|30.0|.556|.750|.500|1.000|.714|.500|47.1|
|14|[Detroit](/r/detroitredwings)|13|6|3|4|16|6|4|2|.615|2.54|2.23|1.21|13.7|88.9|30.1|27.3|.667|.286|.667|.750|.625|.250|51.3|
|15|[Ottawa](/r/ottawasenators)|12|7|3|2|16|6|4|2|.667|2.75|2.17|1.12|20.4|85.4|29.3|35.5|.571|.600|1.000|.750|.000|.600|48.2|
|16|[Chicago](/r/hawks)|13|7|5|1|15|5|4|1|.577|2.46|1.77|1.19|18.9|92.7|37.9|27.5|.750|.200|1.000|1.000|.545|.500|52.6|
|17|[New Jersey](/r/devils)|13|6|5|2|14|5|1|4|.538|2.69|3.08|1.15|22.7|66.7|27.4|30.8|.600|.375|.667|.750|.250|.556|49.2|
|18|[Philadelphia](/r/flyers)|13|6|5|2|14|6|4|2|.538|3.15|2.92|1.11|18.6|78.0|31.8|32.8|.750|.333|.833|.750|.500|.429|50.6|
|19|[Toronto](/r/leafs)|13|6|5|2|14|6|3|3|.538|2.85|2.62|1.04|20.4|83.7|30.9|32.6|1.000|.125|.500|1.000|.667|.444|50.4|
|20|[Minnesota](/r/wildhockey)|12|7|5|0|14|6|4|2|.583|2.92|2.08|1.61|5.3|86.1|34.9|22.3|.750|.250|1.000|.714|.583|.000|49.2|
|21|[NY Rangers](/r/rangers)|12|6|4|2|14|5|3|2|.583|2.75|3.00|1.12|14.3|79.6|31.8|29.4|.571|.400|.667|1.000|.250|1.000|49.9|
|22|[Colorado](/r/coloradoavalanche)|15|4|6|5|13|3|2|1|.433|2.40|2.93|0.76|14.6|91.5|28.5|35.7|.429|.125|.200|.400|.667|.182|48.1|
|23|[Dallas](/r/dallasstars)|13|4|5|4|12|3|1|2|.462|2.77|3.38|1.04|17.0|77.1|28.7|31.2|.333|.286|.500|.500|.167|.333|49.1|
|24|[Florida](/r/floridapanthers)|11|4|3|4|12|4|2|2|.545|1.46|2.09|0.91|15.4|77.6|27.8|30.2|.500|.200|1.000|1.000|.400|.333|47.4|
